trial_number,state,value,n_estimators,learning_rate,max_depth,subsample,colsample_bytree,colsample_bylevel,min_child_weight,gamma,lambda,alpha
39,COMPLETE,0.7185147889206323,836,0.0474475235514788,3,0.8302643834817885,0.9332177360355841,0.9344052221061033,7.0990619418266965,1.1258921880769281,0.008755553401571765,0.013435571657976339
40,COMPLETE,0.7110444789242761,999,0.08519006478741568,5,0.9971509633507084,0.8823727413086202,0.8839803860087586,8.040435216144202,2.2615415686861238,0.16253993631521133,0.007620512703578059
41,COMPLETE,0.7257348887378904,937,0.20034516542591688,3,0.7896741065156199,0.9790986372136001,0.9754828852273137,9.039567546867264,1.8469572804377101,0.021420438817233545,0.2303448749272965
42,COMPLETE,0.7211555333565879,907,0.19365082718104631,3,0.8177560973358854,0.9387059436324666,0.9674460741201694,0.5976540656507519,1.9358521498271857,0.04862712035649209,0.22523352505600908
43,COMPLETE,0.7251408235980275,842,0.10044853640181413,3,0.7915161553525111,0.9860114253762118,0.9758652166517362,9.414178893678734,0.6195322121201867,0.01645473140568267,0.10115815054710942
44,COMPLETE,0.6573927806187759,846,0.09048723449536775,10,0.7986438011656806,0.9804396137360376,0.9287624417589081,9.475617008989085,0.6636192146665646,0.02208757679291346,0.07825323510957122
45,COMPLETE,0.7022846301098142,959,0.022748796332833925,3,0.9216365873811323,0.9125036751428486,0.8932453914900428,7.389867562909162,1.2405152750886215,0.113643562153728,0.04918432758578799
46,COMPLETE,0.7220841945081341,889,0.06482392518240869,4,0.8587152950370833,0.865892884070014,0.969303367143783,9.47541592043657,2.4299297857233073,0.014994728900635522,0.2867424716125007
47,COMPLETE,0.7263544717329409,819,0.11290447724918987,3,0.7462495839036432,0.979170757133137,0.9473863860060815,2.8519351486225797,0.5095307493431731,0.03080311681635259,0.020776756514990793
48,COMPLETE,0.7223195587955071,838,0.04737911290602649,4,0.7396138744025904,0.9824562144860811,0.8615561258267019,2.7045700025957977,0.4960050520933855,0.032315938593106705,0.022390711027805685
49,COMPLETE,0.7055529546365977,103,0.11613861166638739,8,0.7970873788855581,0.9966735717320604,0.950531545264198,4.411504810627281,0.7348405891468872,0.008198713410362532,0.10231270801289376
50,COMPLETE,0.7094789285320421,809,0.07726580678797144,5,0.7559169005940787,0.5963252191423782,0.905589700148072,3.8225200308252587,0.191860150958527,0.002037938091185933,0.05654300076737874
51,COMPLETE,0.7249222524166553,951,0.15890724388492014,3,0.8162140921049338,0.9270847471064583,0.9696162722998438,2.2104477425403473,1.8826210178442917,0.07242722340592062,0.16184766995829156
52,COMPLETE,0.7240545793657996,989,0.159103776595279,3,0.8176402386642014,0.9233530735882058,0.9656602361261739,1.8028450477080231,1.1892919459929874,0.013793224984652715,0.16561212717668386
53,COMPLETE,0.7260487050226668,983,0.14757075476006845,3,0.8483606471473282,0.8993974881668279,0.9744676166141416,1.584876945158082,1.1985538157496876,0.015940078128813057,0.16544729404053157
54,COMPLETE,0.7278380904143851,867,0.10301794144886639,3,0.8928102928946043,0.8968236049669831,0.9807856182278486,2.766644469768457,0.4984189739039104,0.05754529478771932,0.3576999043235366
55,COMPLETE,0.7171235990703175,755,0.10059450663269529,4,0.8913840931471557,0.8937140381139803,0.9780564690498929,2.6404137328455235,0.3414603109344916,0.029368362028095063,0.3882210812001792
56,COMPLETE,0.7228300306991533,663,0.059534580046826484,4,0.9419276797515759,0.9750760450914031,0.9302261223374374,3.1763703642574206,0.5284117889025611,0.050168107150925796,0.23543102081579856
57,COMPLETE,0.7241774584935136,859,0.07520773300430056,3,0.8436163402212707,0.8366955078724297,0.8871820948268425,1.2141968381634958,1.0794217809770918,0.017777944290772493,0.03635510238305176
58,COMPLETE,0.7067798331695164,900,0.10195621046005822,4,0.8764960248513226,0.8672938281716884,0.5529847181018132,1.703645865969685,0.6892523053626514,0.02720668133818729,0.008918970485673689
59,COMPLETE,0.6787845058191335,796,0.040858071858552,9,0.9130505193874322,0.899507514421285,0.9812723053567175,3.8388019405739935,0.33578624636220245,0.04634021067415789,0.01975002874308203
60,COMPLETE,0.7258969324672064,753,0.1407724945836446,3,0.7877710726009102,0.8665629331256621,0.9452938712780954,2.242157642015001,0.08125568084224488,0.11547498786008313,0.33917017690902024
61,COMPLETE,0.7267102362696841,875,0.12488470084464015,3,0.78706695260168,0.948421541061369,0.9455165991653085,3.1143633328576765,0.0032456553011408484,0.11217687882498874,0.385633423157042
62,COMPLETE,0.7258315451364709,737,0.1396336849891528,3,0.7559549172535718,0.8727537196566322,0.9432347689816523,3.0676607473717223,0.04757107953286129,0.10794125369987377,0.0010308343681553558
63,COMPLETE,0.7256439142680159,680,0.12124439981659986,3,0.7523150992847274,0.8652363243918599,0.943111421005278,3.1026669799861866,0.008867880176938243,0.21027564320616426,0.003425094170427536
64,COMPLETE,0.708944229552132,731,0.1565972816822095,4,0.6798222712755431,0.9052208422550017,0.9241344641756922,2.2884180225710034,0.01731912326333716,0.13456396938720924,0.0015028121859618452
65,COMPLETE,0.7163077393691237,633,0.14623622822491686,4,0.73084571870604,0.7898017985728004,0.953842073206651,1.5377864562151,0.24080344713606877,0.248660685570613,0.0010009269116617366
66,COMPLETE,0.7188007453205758,563,0.12864469457155123,3,0.7644176500975091,0.8316565979400624,0.8582094307375855,2.0256241423537427,0.4524376874559122,0.1287127715558074,0.4723874052858057
67,COMPLETE,0.6459484201977701,747,0.012348110270072354,3,0.8472375387540876,0.7507674774695319,0.9017603814235717,0.8915852377872597,0.7934285203007925,0.09240758642472119,0.39691603922895413
68,COMPLETE,0.723089349224997,598,0.06874456089577341,4,0.7803197954618093,0.8849148711005486,0.9434881619663635,3.599578456673118,0.20118219241362267,0.059055777967157955,0.06471173006253181
69,COMPLETE,0.6845605474464224,778,0.00583682355230687,6,0.9350423235264624,0.8717782469849998,0.9123166402778894,2.7382295988250807,0.3555866716941739,0.06398321480737566,0.3577878302822941
70,COMPLETE,0.7212987850605447,525,0.24709809949300948,3,0.8643082608300204,0.8486472565285694,0.873849300911618,3.029782622546624,1.0190148905431649,0.03560406001395367,0.13971985615784652
71,COMPLETE,0.7274498271915819,875,0.08876223875415716,3,0.7875357523665887,0.9436240601123244,0.984257625134364,3.4400662166796843,0.535931131159721,0.19237712918391348,0.22529046610650325
72,COMPLETE,0.7154673028624403,811,0.08533575098720299,3,0.8317660056496375,0.5105258065451612,0.984459454186457,4.21865955476435,0.5200822299215823,0.21152913541097434,0.24548164023877356
73,COMPLETE,0.7276116705905651,879,0.13647417494711137,3,0.8951478092210694,0.9461235998802275,0.9546494436104411,3.4166150045791532,0.10188135603699477,0.17963163627728115,0.18633140214029584
74,COMPLETE,0.7244481130686331,869,0.05815416405675562,3,0.8906584995768648,0.941711705818617,0.9606343107967922,5.2057969624469465,0.25992298346465337,0.5023216091300617,0.18971603904841114
75,COMPLETE,0.7255705058156164,905,0.11311791963335097,3,0.9738398498129446,0.9595938543297373,0.9221538407330011,2.488338451347751,0.6315706268614323,0.1807450634236718,0.9509202526962413
76,COMPLETE,0.5837020868917357,891,0.00117613922909552,4,0.8571194104979749,0.9473175742903663,0.9843612627097557,3.631560979211301,0.9111216442942441,0.2582788056842442,0.13153461002734906
77,COMPLETE,0.718252722331962,970,0.17652386483027238,3,0.6925578250805533,0.9049404568579481,0.9545320588860586,3.3514332675853744,0.13233503272901556,0.04083049694785018,0.3110170522103623
78,COMPLETE,0.6240590551090519,819,0.0016251776565009562,7,0.8803488484862898,0.9182705584929389,0.8386018466812107,2.1225084276048496,0.44511595924850866,0.09548229287548816,0.6374384185305114
79,COMPLETE,0.7181610280740405,864,0.24399981433455997,3,0.8994525098870365,0.6874035067280588,0.9373675770278431,4.141728636094003,0.8318551746391859,0.15162468381800473,0.5034925471103083
80,COMPLETE,0.7058073130418483,154,0.08951790855138315,4,0.9242672067572897,0.9469787464206099,0.9905653894461273,1.385070043990392,1.3518429985320715,0.453411864806792,0.18890669308363733
81,COMPLETE,0.7272076369307043,784,0.14298781731298135,3,0.8071821799689699,0.8788625131093248,0.9593726319104584,2.8615535421368143,0.019826486501410584,0.0931430910499204,0.27221906761171444
82,COMPLETE,0.7231875772345963,774,0.13387081188474653,3,0.8060832120653488,0.961930175927462,0.9995876527459177,2.87650099157644,0.33563453204149424,0.0756382265899388,0.2787678831417094
83,COMPLETE,0.7266793631346924,786,0.11263763222938306,3,0.8330043333256585,0.930983612362004,0.9580915068844595,2.0052017387631187,0.5688877934845534,0.024987465052810045,0.374872465674589
84,COMPLETE,0.7136101963625237,330,0.09605188744287792,3,0.8432528047558586,0.9315583489446368,0.9581174357690279,2.4792687107590514,0.5977918637308529,0.02766199325607255,1.27356613278749
85,COMPLETE,0.7241885789115339,697,0.06785303649777409,3,0.8337013513571232,0.8973511326335217,0.9839697160980975,1.9510341167611807,0.978009112595809,0.011798213483490154,0.2086891435343949
86,COMPLETE,0.7264204464299778,911,0.1801994485552629,3,0.8052586381674055,0.9648259527457476,0.9307384283976821,2.850406497572622,0.23412622350758588,0.02338293606285248,0.13549479792857422
87,COMPLETE,0.7004456807759243,913,0.17493978381216102,4,0.8094179889212213,0.9611509302670703,0.8992640477215041,3.29056226976862,0.2233091924185294,0.04260744634840573,0.07628135571503203
