,XGBoost
f0,5274.0
f2,4240.0
f19,3154.0
f3,3109.0
f5,2948.0
f8,1949.0
f22,1104.0
f4,973.0
f12,732.0
f18,588.0
f10,348.0
f9,313.0
f14,143.0
f11,110.0
f16,63.0
f1,46.0
f21,36.0
f13,15.0
f17,1.0
